demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
34097.001397,164.87246791356353,15873.654411947797,18058.47451713864,0.0002041185736348,2025-09-01 22:00:00,9,1,22,2025-09-01,late_evening_21_23,16038.52687986136,0.5296206052514489
31645.3479,-0.0,15873.654411947797,15771.693488052204,0.0,2025-09-01 23:00:00,9,1,23,2025-09-01,late_evening_21_23,15873.654411947797,0.4983890061152465
29801.533626,-0.0,15873.654411947797,13927.879214052204,0.0,2025-09-02 00:00:00,9,2,0,2025-09-02,night_00_05,15873.654411947797,0.46735444520549735
28938.011448,-0.0,15873.654411947797,13064.357036052204,0.0,2025-09-02 01:00:00,9,2,1,2025-09-02,night_00_05,15873.654411947797,0.4514600825121701
28351.758069,-0.0,15873.654411947797,12478.103657052203,0.0,2025-09-02 02:00:00,9,2,2,2025-09-02,night_00_05,15873.654411947797,0.4401174567970035
27985.729127,-0.0,15873.654411947797,12112.074715052202,0.0,2025-09-02 03:00:00,9,2,3,2025-09-02,night_00_05,15873.654411947797,0.43279468117794173
27706.865791,-0.0,15873.654411947797,11833.211379052203,0.0,2025-09-02 04:00:00,9,2,4,2025-09-02,night_00_05,15873.654411947797,0.42708588796412966
27365.997404,-0.0,15873.654411947797,11492.342992052205,0.0,2025-09-02 05:00:00,9,2,5,2025-09-02,night_00_05,15873.654411947797,0.419949721634206
28436.0645359999,3101.4688775439568,15873.654411947797,9460.941246508146,0.0038397399606397,2025-09-02 06:00:00,9,2,6,2025-09-02,morning_06_09,18975.123289491752,0.33270923388609724
40902.125214,9015.1021134629,15873.654411947797,16013.3686885893,0.0111610495545978,2025-09-02 19:00:00,9,2,19,2025-09-02,evening_peak_16_20,24888.756525410696,0.3915045637557297
39331.43948,-0.0,15873.654411947797,23457.785068052202,0.0,2025-09-02 20:00:00,9,2,20,2025-09-02,evening_peak_16_20,15873.654411947797,0.5964130827192445
37572.513412,-0.0,15873.654411947797,21698.8590000522,0.0,2025-09-02 21:00:00,9,2,21,2025-09-02,late_evening_21_23,15873.654411947797,0.5775194957578209
34769.3635979999,-0.0,15873.654411947797,18895.709186052103,0.0,2025-09-02 22:00:00,9,2,22,2025-09-02,late_evening_21_23,15873.654411947797,0.5434585862577903
32166.392721,-0.0,15873.654411947797,16292.738309052203,0.0,2025-09-02 23:00:00,9,2,23,2025-09-02,late_evening_21_23,15873.654411947797,0.506514312946736
30207.580746,52.88362178359912,15873.654411947797,14281.042712268603,6.547199531682669e-05,2025-09-03 00:00:00,9,3,0,2025-09-03,night_00_05,15926.538033731396,0.47276353682046046
28508.712594,-0.0,15873.654411947797,12635.058182052204,0.0,2025-09-03 01:00:00,9,3,1,2025-09-03,night_00_05,15873.654411947797,0.44319988636426194
26928.6116579999,-0.0,15873.654411947797,11054.957246052103,0.0,2025-09-03 02:00:00,9,3,2,2025-09-03,night_00_05,15873.654411947797,0.4105283029980462
27019.112557,-0.0,15873.654411947797,11145.458145052204,0.0,2025-09-03 03:00:00,9,3,3,2025-09-03,night_00_05,15873.654411947797,0.41250274677007054
26686.859471,-0.0,15873.654411947797,10813.205059052203,0.0,2025-09-03 04:00:00,9,3,4,2025-09-03,night_00_05,15873.654411947797,0.4051883688600626
26753.479806,-0.0,15873.654411947797,10879.825394052203,0.0,2025-09-03 05:00:00,9,3,5,2025-09-03,night_00_05,15873.654411947797,0.4066695425397404
28166.425498,8651.138363540527,15873.654411947797,3641.6327225116765,0.0107104481750644,2025-09-03 06:00:00,9,3,6,2025-09-03,morning_06_09,24524.792775488324,0.12928984271611804
40729.952378,9382.176664666691,15873.654411947797,15474.121301385512,0.0116155022279734,2025-09-03 19:00:00,9,3,19,2025-09-03,evening_peak_16_20,25255.831076614486,0.37991994583680755
39271.155691,-0.0,15873.654411947797,23397.5012790522,0.0,2025-09-03 20:00:00,9,3,20,2025-09-03,evening_peak_16_20,15873.654411947797,0.5957935504407461
37485.213634,15.554006406940918,15873.654411947797,21596.005215645262,1.925646921083138e-05,2025-09-03 21:00:00,9,3,21,2025-09-03,late_evening_21_23,15889.208418354738,0.5761206385671271
34614.657586,-0.0,15873.654411947797,18741.003174052203,0.0,2025-09-03 22:00:00,9,3,22,2025-09-03,late_evening_21_23,15873.654411947797,0.5414181298049892
31849.879863,-0.0,15873.654411947797,15976.225451052202,0.0,2025-09-03 23:00:00,9,3,23,2025-09-03,late_evening_21_23,15873.654411947797,0.5016102264678173
29834.233358,-0.0,15873.654411947797,13960.578946052205,0.0,2025-09-04 00:00:00,9,4,0,2025-09-04,night_00_05,15873.654411947797,0.4679382499469757
28439.444245,-0.0,15873.654411947797,12565.789833052202,0.0,2025-09-04 01:00:00,9,4,1,2025-09-04,night_00_05,15873.654411947797,0.44184371975768905
27413.04474,-0.0,15873.654411947797,11539.390328052204,0.0,2025-09-04 02:00:00,9,4,2,2025-09-04,night_00_05,15873.654411947797,0.4209452265334976
26679.130761,-0.0,15873.654411947797,10805.476349052204,0.0,2025-09-04 03:00:00,9,4,3,2025-09-04,night_00_05,15873.654411947797,0.40501605715160066
26516.372493,-0.0,15873.654411947797,10642.718081052202,0.0,2025-09-04 04:00:00,9,4,4,2025-09-04,night_00_05,15873.654411947797,0.4013640283512291
